Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
9	Wed Feb 06 23:41:36 EET 2013	555662	1	Garbage collection optimized for throughput Young Collector	8	1.0	112	9.0	555604	8.0	67108864	67108864	3221225472	37685728
9	Wed Feb 06 23:41:36 EET 2013	553426	2	Garbage collection optimized for throughput Young Collector	7	0.0	98	0.0	435005	18.0	67108864	67108864	3221225472	56012240
9	Wed Feb 06 23:41:38 EET 2013	557490	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	48846184
9	Wed Feb 06 23:41:38 EET 2013	555416	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	37897464
9	Wed Feb 06 23:41:38 EET 2013	557490	1	Garbage collection optimized for throughput Young Collector	8	1.0	112	9.0	555604	8.0	67108864	67108864	3221225472	48846184
9	Wed Feb 06 23:41:38 EET 2013	555419	2	Garbage collection optimized for throughput Young Collector	8	1.0	102	4.0	555337	4.0	67108864	67108864	3221225472	37897464
10	Wed Feb 06 23:42:37 EET 2013	615880	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	54926448
10	Wed Feb 06 23:42:37 EET 2013	613645	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	49055144
10	Wed Feb 06 23:42:37 EET 2013	615884	1	Garbage collection optimized for throughput Young Collector	8	0.0	112	0.0	555618	8.0	67108864	67108864	3221225472	54926448
10	Wed Feb 06 23:42:37 EET 2013	613645	2	Garbage collection optimized for throughput Young Collector	8	1.0	102	4.0	555351	4.0	67108864	67108864	3221225472	49055144
10	Wed Feb 06 23:42:39 EET 2013	617693	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	46022344
10	Wed Feb 06 23:42:39 EET 2013	615646	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	55220416
10	Wed Feb 06 23:42:39 EET 2013	617693	1	Garbage collection optimized for throughput Young Collector	9	1.0	121	9.0	615954	9.0	67108864	67108864	3221225472	46022344
10	Wed Feb 06 23:42:39 EET 2013	615657	2	Garbage collection optimized for throughput Young Collector	8	0.0	102	0.0	555351	4.0	67108864	67108864	3221225472	55220416
11	Wed Feb 06 23:43:37 EET 2013	676118	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	50084432
11	Wed Feb 06 23:43:37 EET 2013	673906	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	47884336
11	Wed Feb 06 23:43:37 EET 2013	676121	1	Garbage collection optimized for throughput Young Collector	9	1.0	121	9.0	615954	9.0	67108864	67108864	3221225472	50084432
11	Wed Feb 06 23:43:37 EET 2013	673906	2	Garbage collection optimized for throughput Young Collector	9	1.0	106	4.0	615700	4.0	67108864	67108864	3221225472	47884336
11	Wed Feb 06 23:43:39 EET 2013	678103	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	58023928
11	Wed Feb 06 23:43:39 EET 2013	675947	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	50291464
11	Wed Feb 06 23:43:39 EET 2013	678103	1	Garbage collection optimized for throughput Young Collector	9	0.0	121	0.0	615954	9.0	67108864	67108864	3221225472	58023928
11	Wed Feb 06 23:43:39 EET 2013	675950	2	Garbage collection optimized for throughput Young Collector	9	1.0	106	4.0	615700	4.0	67108864	67108864	3221225472	50291464
12	Wed Feb 06 23:44:37 EET 2013	736411	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	41534840
12	Wed Feb 06 23:44:37 EET 2013	734247	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	59283720
12	Wed Feb 06 23:44:37 EET 2013	736423	1	Garbage collection optimized for throughput Young Collector	10	1.0	128	7.0	736367	7.0	67108864	67108864	3221225472	45206848
12	Wed Feb 06 23:44:37 EET 2013	734247	2	Garbage collection optimized for throughput Young Collector	9	0.0	106	0.0	615700	4.0	67108864	67108864	3221225472	59283720
12	Wed Feb 06 23:44:39 EET 2013	738380	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	51393000
12	Wed Feb 06 23:44:39 EET 2013	736255	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	49076536
12	Wed Feb 06 23:44:39 EET 2013	738380	1	Garbage collection optimized for throughput Young Collector	10	1.0	128	7.0	736367	7.0	67108864	67108864	3221225472	51393000
12	Wed Feb 06 23:44:39 EET 2013	736257	2	Garbage collection optimized for throughput Young Collector	10	1.0	151	45.0	736166	45.0	67108864	67108864	3221225472	49076536
13	Wed Feb 06 23:45:37 EET 2013	796673	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	59098216
13	Wed Feb 06 23:45:37 EET 2013	794487	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	51737672
13	Wed Feb 06 23:45:37 EET 2013	796676	1	Garbage collection optimized for throughput Young Collector	10	0.0	128	0.0	736367	7.0	67108864	67108864	3221225472	59098216
13	Wed Feb 06 23:45:37 EET 2013	794487	2	Garbage collection optimized for throughput Young Collector	10	1.0	151	45.0	736166	45.0	67108864	67108864	3221225472	51737672
13	Wed Feb 06 23:45:39 EET 2013	798567	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	46323176
13	Wed Feb 06 23:45:39 EET 2013	796485	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	60447128
13	Wed Feb 06 23:45:39 EET 2013	798567	1	Garbage collection optimized for throughput Young Collector	11	1.0	133	5.0	796690	5.0	67108864	67108864	3221225472	46323176
13	Wed Feb 06 23:45:39 EET 2013	796487	2	Garbage collection optimized for throughput Young Collector	10	0.0	151	0.0	736166	45.0	67108864	67108864	3221225472	60447128
14	Wed Feb 06 23:46:38 EET 2013	856895	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	52371064
14	Wed Feb 06 23:46:38 EET 2013	854686	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	50380288
14	Wed Feb 06 23:46:38 EET 2013	856897	1	Garbage collection optimized for throughput Young Collector	11	1.0	133	5.0	796690	5.0	67108864	67108864	3221225472	52371064
14	Wed Feb 06 23:46:38 EET 2013	854686	2	Garbage collection optimized for throughput Young Collector	11	1.0	156	5.0	796503	6.0	67108864	67108864	3221225472	50380288
14	Wed Feb 06 23:46:40 EET 2013	858765	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	61338760
14	Wed Feb 06 23:46:40 EET 2013	856680	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	52800488
14	Wed Feb 06 23:46:40 EET 2013	858765	1	Garbage collection optimized for throughput Young Collector	11	0.0	133	0.0	796690	5.0	67108864	67108864	3221225472	61338760
14	Wed Feb 06 23:46:40 EET 2013	856690	2	Garbage collection optimized for throughput Young Collector	11	1.0	156	5.0	796503	6.0	67108864	67108864	3221225472	52800488
15	Wed Feb 06 23:47:38 EET 2013	917056	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	47693704
15	Wed Feb 06 23:47:38 EET 2013	914846	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	61712544
15	Wed Feb 06 23:47:38 EET 2013	917069	1	Garbage collection optimized for throughput Young Collector	12	1.0	140	7.0	917016	7.0	67108864	67108864	3221225472	51268008
15	Wed Feb 06 23:47:38 EET 2013	914846	2	Garbage collection optimized for throughput Young Collector	11	0.0	156	0.0	796517	6.0	67108864	67108864	3221225472	61712544
15	Wed Feb 06 23:47:40 EET 2013	918983	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	53938800
15	Wed Feb 06 23:47:40 EET 2013	916872	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	51566232
15	Wed Feb 06 23:47:40 EET 2013	918983	1	Garbage collection optimized for throughput Young Collector	12	1.0	140	7.0	917016	7.0	67108864	67108864	3221225472	53938800
15	Wed Feb 06 23:47:40 EET 2013	916892	2	Garbage collection optimized for throughput Young Collector	12	1.0	165	9.0	916817	9.0	67108864	67108864	3221225472	51566232
16	Wed Feb 06 23:48:38 EET 2013	977242	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	61650192
16	Wed Feb 06 23:48:38 EET 2013	975048	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	54243712
16	Wed Feb 06 23:48:38 EET 2013	977245	1	Garbage collection optimized for throughput Young Collector	12	0.0	140	0.0	917016	7.0	67108864	67108864	3221225472	62694808
16	Wed Feb 06 23:48:38 EET 2013	975048	2	Garbage collection optimized for throughput Young Collector	12	1.0	165	9.0	916817	9.0	67108864	67108864	3221225472	54243712
16	Wed Feb 06 23:48:40 EET 2013	979221	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	52466984
16	Wed Feb 06 23:48:40 EET 2013	977110	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	62923672
16	Wed Feb 06 23:48:40 EET 2013	979221	1	Garbage collection optimized for throughput Young Collector	13	1.0	146	6.0	977289	6.0	67108864	67108864	3221225472	52466984
16	Wed Feb 06 23:48:40 EET 2013	977113	2	Garbage collection optimized for throughput Young Collector	12	0.0	165	0.0	916817	9.0	67108864	67108864	3221225472	62923672
17	Wed Feb 06 23:49:38 EET 2013	1037472	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	54959640
17	Wed Feb 06 23:49:38 EET 2013	1035226	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	54863864
17	Wed Feb 06 23:49:38 EET 2013	1037474	1	Garbage collection optimized for throughput Young Collector	13	1.0	146	6.0	977289	6.0	67108864	67108864	3221225472	54959640
17	Wed Feb 06 23:49:38 EET 2013	1035226	2	Garbage collection optimized for throughput Young Collector	13	1.0	180	15.0	977127	15.0	67108864	67108864	3221225472	54863864
17	Wed Feb 06 23:49:40 EET 2013	1039416	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	63947736
17	Wed Feb 06 23:49:40 EET 2013	1037354	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	55235256
17	Wed Feb 06 23:49:40 EET 2013	1039416	1	Garbage collection optimized for throughput Young Collector	13	0.0	146	0.0	977289	6.0	67108864	67108864	3221225472	63947736
17	Wed Feb 06 23:49:40 EET 2013	1037357	2	Garbage collection optimized for throughput Young Collector	13	1.0	180	15.0	977127	15.0	67108864	67108864	3221225472	55235256
18	Wed Feb 06 23:50:39 EET 2013	1097741	1	Garbage collection optimized for throughput Old Collector	1	1.0	39	39.0	1097611	20.0	67108864	67108864	3221225472	25763624
18	Wed Feb 06 23:50:39 EET 2013	1095486	2	Garbage collection optimized for throughput Old Collector	1	1.0	162	162.0	1095503	81.0	67108864	67108864	3221225472	64129464
18	Wed Feb 06 23:50:39 EET 2013	1097771	1	Garbage collection optimized for throughput Young Collector	14	1.0	150	4.0	1097606	5.0	67108864	67108864	3221225472	25763624
18	Wed Feb 06 23:50:39 EET 2013	1095486	2	Garbage collection optimized for throughput Young Collector	14	1.0	203	23.0	1095479	23.0	67108864	67108864	3221225472	64129464
18	Wed Feb 06 23:50:41 EET 2013	1099716	1	Garbage collection optimized for throughput Old Collector	1	1.0	39	39.0	1097611	20.0	67108864	67108864	3221225472	36600872
18	Wed Feb 06 23:50:41 EET 2013	1097567	2	Garbage collection optimized for throughput Old Collector	1	1.0	162	162.0	1095503	81.0	67108864	67108864	3221225472	29914864
18	Wed Feb 06 23:50:41 EET 2013	1099716	1	Garbage collection optimized for throughput Young Collector	14	1.0	150	4.0	1097606	5.0	67108864	67108864	3221225472	36600872
