Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
99	Thu Feb 07 01:11:52 EET 2013	Thu Feb 07 01:11:52 EET 2013	2	1.0	1.0	3173	32.0	0	0.0	0	0.0	9143	108.0
100	Thu Feb 07 01:12:49 EET 2013	Thu Feb 07 01:12:49 EET 2013	1	1.0	1.0	9193	91.0	0	0.0	0	0.0	9228	91.0
100	Thu Feb 07 01:12:49 EET 2013	Thu Feb 07 01:12:49 EET 2013	2	1.0	1.0	3175	31.0	0	0.0	0	0.0	9203	91.0
100	Thu Feb 07 01:12:52 EET 2013	Thu Feb 07 01:12:52 EET 2013	1	1.0	1.0	9196	92.0	0	0.0	0	0.0	9232	92.0
100	Thu Feb 07 01:12:52 EET 2013	Thu Feb 07 01:12:52 EET 2013	2	1.0	1.0	3204	31.0	0	0.0	0	0.0	9234	91.0
101	Thu Feb 07 01:13:49 EET 2013	Thu Feb 07 01:13:49 EET 2013	1	1.0	1.0	9284	91.0	0	0.0	0	0.0	9319	91.0
101	Thu Feb 07 01:13:49 EET 2013	Thu Feb 07 01:13:49 EET 2013	2	1.0	1.0	3206	31.0	0	0.0	0	0.0	9294	91.0
101	Thu Feb 07 01:13:52 EET 2013	Thu Feb 07 01:13:52 EET 2013	1	1.0	1.0	9287	91.0	0	0.0	0	0.0	9323	91.0
101	Thu Feb 07 01:13:52 EET 2013	Thu Feb 07 01:13:52 EET 2013	2	1.0	1.0	3235	31.0	0	0.0	0	0.0	9325	91.0
102	Thu Feb 07 01:14:49 EET 2013	Thu Feb 07 01:14:49 EET 2013	1	1.0	1.0	9375	91.0	0	0.0	0	0.0	9410	91.0
102	Thu Feb 07 01:14:49 EET 2013	Thu Feb 07 01:14:49 EET 2013	2	1.0	1.0	3237	31.0	0	0.0	0	0.0	9385	91.0
102	Thu Feb 07 01:14:52 EET 2013	Thu Feb 07 01:14:52 EET 2013	1	1.0	1.0	9378	91.0	0	0.0	0	0.0	9414	91.0
102	Thu Feb 07 01:14:52 EET 2013	Thu Feb 07 01:14:52 EET 2013	2	1.0	1.0	3266	31.0	0	0.0	0	0.0	9416	91.0
103	Thu Feb 07 01:15:50 EET 2013	Thu Feb 07 01:15:50 EET 2013	1	1.0	1.0	9466	91.0	0	0.0	0	0.0	9501	91.0
103	Thu Feb 07 01:15:50 EET 2013	Thu Feb 07 01:15:50 EET 2013	2	1.0	1.0	3268	31.0	0	0.0	0	0.0	9476	91.0
103	Thu Feb 07 01:15:52 EET 2013	Thu Feb 07 01:15:52 EET 2013	1	1.0	1.0	9470	92.0	0	0.0	0	0.0	9505	91.0
103	Thu Feb 07 01:15:52 EET 2013	Thu Feb 07 01:15:52 EET 2013	2	1.0	1.0	3296	30.0	0	0.0	0	0.0	9492	76.0
